老師,課程名稱,學年,學期,分數
劉文卿,計算機概論,103,1,75.0
劉文卿,資訊系統專案設計,103,1,81.5
劉文卿,資訊系統專案設計,102,2,85.1
劉文卿,計算機概論,102,1,75.8
劉文卿,資訊系統專案設計,101,2,90.0
劉文卿,計算機概論,101,1,78.2
劉文卿,計算機概論,101,1,78.8
劉文卿,資訊系統專案設計,101,1,87.9
劉文卿,資訊系統專案設計,101,1,82.5
劉文卿,綠能雲之規劃與實作,101,1,85.5
劉文卿,Java與Hadoop系統設計,100,2,84.3
劉文卿,資訊系統專案設計,100,1,82.5
劉文卿,雲端運算伺服架構,100,1,95.5
劉文卿,資料庫管理,99,2,83.7
劉文卿,資料庫管理,99,2,85.8
劉文卿,資訊系統專案設計,99,2,78.3
劉文卿,高頻交易演算法,99,2,85.7
劉文卿,資訊系統專案設計,99,1,80.7
劉文卿,資訊系統專案設計,99,1,86.2
劉文卿,投資策略程式語言,99,1,84.8
劉文卿,資訊系統專案設計,98,2,89.5
劉文卿,程式設計,98,2,76.5
劉文卿,計算機概論,98,1,75.8
劉文卿,資訊系統專案設計,98,1,91.0
劉文卿,資訊系統專案設計,98,1,88.2
劉文卿,資訊系統專案設計,97,2,83.9
劉文卿,財會資訊系統,97,2,85.2
劉文卿,.Net Framework 研究,97,2,91.4
劉文卿,投資策略系統架構,97,2,92.6
劉文卿,資訊系統專案設計,97,1,84.0
劉文卿,財會資訊系統,97,1,82.0
劉文卿,資訊系統專案設計,96,2,90.4
劉文卿,財會資訊系統,96,2,85.8
劉文卿,財會資訊系統,96,2,89.4
劉文卿,財經指數研究,96,2,85.1
劉文卿,程式設計,103,2,70
劉文卿,巨量資料分析與Ｒ語言,103,2,70
劉文卿,資訊系統研發,103,2,70
劉文卿,進階資訊系統研發,103,2,70
劉文卿,巨量資料分析與Ｒ語言,103,2,70
劉文卿,行動化巨量資料分析平台之設計,103,2,70
劉文卿,計算機概論,103,1,70
劉文卿,進階創新科技技術,103,1,70
劉文卿,高頻交易系統性能調校,103,1,70
劉文卿,程式設計,102,2,70
劉文卿,資訊系統研發,102,2,70
劉文卿,進階資訊系統研發,102,2,70
劉文卿,雲端運算之整合性架構,102,2,70
劉文卿,計算機概論,102,1,70
劉文卿,資訊系統專案設計,102,1,70
劉文卿,資訊系統專案設計,102,1,70
劉文卿,高頻交易之巨量資料採礦,102,1,70
劉文卿,進階創新科技技術,102,1,70
劉文卿,高頻交易之巨量資料採礦,102,1,70
劉文卿,程式設計,101,2,70
劉文卿,HTML5程式設計,101,2,70
劉文卿,雲端介面設計,101,2,70
劉文卿,進階資訊系統研發,101,2,70
劉文卿,雲端介面設計,101,2,70
劉文卿,創新科技技術,101,1,70
劉文卿,資訊系統專案設計,100,2,70
劉文卿,Hadoop應用開發,100,2,70
劉文卿,Hadoop應用開發,100,2,70
劉文卿,雲端運算伺服架構,100,1,70
劉文卿,創新科技技術,100,1,70
劉文卿,高頻交易演算法,99,2,70
劉文卿,3D動畫系統研究,99,1,70
劉文卿,投資策略程式語言,99,1,70
劉文卿,雲端分散式作業系統,99,1,70
劉文卿,雲端運算,98,2,70
劉文卿,演算法交易,98,2,70
劉文卿,雲端運算,98,2,70
劉文卿,計算機概論,98,1,70
劉文卿,商業循環研究,98,1,70
劉文卿,投資策略系統架構,97,2,70
劉文卿,企業評價,97,1,70
劉文卿,財經指數研究,96,2,70
劉文卿,技術分析研究,96,2,70
張維中,資訊系統專案設計,103,1,87.1
張維中,財會資訊系統,103,1,83.1
張維中,資訊系統專案設計,102,2,94.3
張維中,資訊系統專案設計,102,1,86.0
張維中,財會資訊系統,102,1,81.2
張維中,資訊系統專案設計,101,1,75.0
張維中,資訊系統專案設計,101,1,96.4
張維中,財會資訊系統,101,1,82.3
張維中,資訊系統專案設計,100,2,90.1
張維中,財會資訊系統,100,1,83.8
張維中,財會資訊系統,99,2,85.0
張維中,資訊系統專案設計,99,1,80.0
張維中,財會資訊系統,99,1,84.0
張維中,資訊系統專案設計,98,2,78.1
張維中,資訊系統專案設計,98,1,88.0
張維中,資訊系統專案設計,98,1,91.1
張維中,資訊系統專案設計,97,2,82.6
張維中,資訊系統專案設計,97,1,85.4
張維中,資訊系統專案設計,97,1,79.7
張維中,資訊系統專案設計,96,2,79.9
張維中,NodeXL － 社會媒體與社會網絡分析,103,2,70
張維中,資管專題–Web2.0,103,2,70
張維中,知識管理和組織學習,103,2,70
張維中,知識管理和組織學習,103,1,70
張維中,資訊管理、數位經濟與網路社會,103,1,70
張維中,資管專題–Web2.0,102,2,70
張維中,知識管理和組織學習,102,2,70
張維中,資訊系統專案設計,102,1,70
張維中,知識管理和組織學習,102,1,70
張維中,資訊管理、數位經濟與網路社會,102,1,70
張維中,會計資訊系統（二）,101,2,70
張維中,資管專題–Web2.0,101,2,70
張維中,知識管理和組織學習,101,2,70
張維中,會計資訊系統管理,101,1,70
張維中,知識管理和組織學習,101,1,70
張維中,資訊管理、數位經濟與網路社會,101,1,70
張維中,NodeXL–社會媒體與社會網絡分析,100,2,70
張維中,資管專題–Web2.0,100,2,70
張維中,知識管理研究,100,2,70
張維中,知識管理和組織學習,100,1,70
張維中,資訊管理、數位經濟與網路社會,100,1,70
張維中,知識管理研究,99,2,70
張維中,資管專題,99,2,70
張維中,知識管理和組織學習,99,1,70
張維中,資訊管理、數位經濟與網路社會,99,1,70
張維中,財會資訊系統,98,2,70
張維中,知識管理研究,98,2,70
張維中,知識管理和組織學習,98,1,70
張維中,資訊管理、數位經濟與網路社會,98,1,70
張維中,知識管理與資訊技術,97,2,70
張維中,數量模式方法,97,2,70
張維中,資管專題,97,2,70
張維中,知識管理與資訊技術,97,2,70
張維中,知識管理和組織學習,97,1,70
張維中,資訊管理、數位經濟與網路社會,97,1,70
張維中,知識管理與資訊技術,96,2,70
張維中,數量模式方法,96,2,70
張維中,資管專題,96,2,70
張維中,知識管理與資訊技術,96,2,70
林我聰,資訊系統專案設計,103,1,86.4
林我聰,產銷資訊系統,103,1,84.8
林我聰,資訊系統專案設計,102,2,88.2
林我聰,資訊系統專案設計,102,1,78.6
林我聰,產銷資訊系統,102,1,89.0
林我聰,產銷資訊系統,101,2,83.4
林我聰,產銷資訊系統,101,2,78.9
林我聰,產銷資訊系統,100,2,84.5
林我聰,產銷資訊系統,100,2,91.7
林我聰,產銷資訊系統,99,2,84.6
林我聰,產銷資訊系統,99,2,88.9
林我聰,電子商務專題,99,2,90.1
林我聰,產銷資訊系統,98,2,83.7
林我聰,產銷資訊系統,98,2,83.2
林我聰,資訊系統專案設計,97,2,88.5
林我聰,產銷資訊系統,97,2,85.5
林我聰,資訊系統專案設計,97,1,89.7
林我聰,資訊系統專案設計,97,1,93.8
林我聰,產銷資訊系統,97,1,86.3
林我聰,產銷資訊系統,97,1,88.9
林我聰,資訊系統專案設計,96,2,91.6
林我聰,產銷資訊系統,96,2,79.5
林我聰,產銷資訊系統,96,2,80.8
林我聰,資訊系統專案設計,103,2,70
林我聰,供應鏈管理,103,2,70
林我聰,供應鏈管理系統研究,103,1,70
林我聰,供應鏈管理,102,2,70
林我聰,供應鏈管理系統研究,102,1,70
林我聰,供應鏈管理,101,2,70
林我聰,供應鏈管理,100,2,70
林我聰,供應鏈管理系統研究,100,2,70
林我聰,供應鏈管理與協同商務,99,1,70
林我聰,協同商務系統研究,98,2,70
林我聰,資訊系統專案設計,98,1,70
林我聰,供應鏈管理與協同商務,98,1,70
林我聰,產銷資訊系統,97,2,70
林我聰,供應鏈管理系統研究,97,2,70
林我聰,協同商務系統研究,97,1,70
林我聰,供應鏈管理與協同商務,97,1,70
林我聰,供應鏈管理系統研究,96,2,70
胡毓忠,電腦科學邏輯基礎,102,2,80.9
胡毓忠,資訊專題（A）,101,2,82.3
胡毓忠,資訊與法律（一）,99,1,82.0
胡毓忠,資訊專題（A）,98,2,93.4
胡毓忠,作業系統,98,1,82.0
胡毓忠,作業系統,97,1,82.5
胡毓忠,資訊專題（B）,97,1,91.2
胡毓忠,資訊專題（A）,96,2,84.1
胡毓忠,電腦科學邏輯基礎,103,2,70
胡毓忠,資訊專題（A）,103,2,70
胡毓忠,資訊專題（C）,103,2,70
胡毓忠,資訊系統與網路安全,103,2,70
胡毓忠,資訊系統與網路安全,103,2,70
胡毓忠,電腦科學邏輯基礎,103,2,70
胡毓忠,行動社群網路,103,2,70
胡毓忠,作業系統,103,1,70
胡毓忠,資訊專題（B）,103,1,70
胡毓忠,分散式系統,103,1,70
胡毓忠,分散式系統,103,1,70
胡毓忠,專題研究（一）,103,1,70
胡毓忠,分散式系統,103,1,70
胡毓忠,資訊專題（A）,102,2,70
胡毓忠,資訊系統與網路安全,102,2,70
胡毓忠,資訊系統與網路安全,102,2,70
胡毓忠,電腦科學邏輯基礎,102,2,70
胡毓忠,資訊系統與網路安全,102,2,70
胡毓忠,探索數位世界,102,1,70
胡毓忠,資訊專題（B）,102,1,70
胡毓忠,Web概念與技術,102,1,70
胡毓忠,Web概念與技術,102,1,70
胡毓忠,電腦科學邏輯基礎,101,2,70
胡毓忠,專題研討（二）,101,2,70
胡毓忠,計算機概論,101,1,70
胡毓忠,電腦科學邏輯基礎,101,1,70
胡毓忠,電腦科學邏輯基礎,101,1,70
胡毓忠,論文研究（一）,100,1,70
胡毓忠,科技與法律（二）,99,2,70
胡毓忠,科技與法律（二）,99,2,70
胡毓忠,語意網與資訊網服務,99,2,70
胡毓忠,專題研討（二）,99,2,70
胡毓忠,論文研究（二）,99,2,70
胡毓忠,資訊與法律（一）,99,1,70
胡毓忠,計算機概論,99,1,70
胡毓忠,資訊專題（B）,99,1,70
胡毓忠,Web概念與技術,99,1,70
胡毓忠,專題研討（一）,99,1,70
胡毓忠,論文研究（一）,99,1,70
胡毓忠,科技與法律（一）,98,2,70
胡毓忠,語意網與資訊網服務,98,2,70
胡毓忠,專題研討（二）,98,2,70
胡毓忠,專題研究（二）,98,2,70
胡毓忠,論文研究（二）,98,2,70
胡毓忠,語意網與資訊網服務,98,2,70
胡毓忠,電子商務,98,1,70
胡毓忠,Web概念與技術,98,1,70
胡毓忠,專題研討（一）,98,1,70
胡毓忠,論文研究（一）,98,1,70
胡毓忠,Web概念與技術,98,1,70
胡毓忠,語意網與資訊網服務,97,1,70
胡毓忠,Web概念與技術,97,1,70
胡毓忠,專題研討（二）,96,2,70
胡毓忠,Web概念與技術,96,2,70
蔡瑞煌,創意設計專題（一）,103,1,81.3
蔡瑞煌,資訊系統專案設計,103,1,86.7
蔡瑞煌,資訊系統專案設計,103,1,82.3
蔡瑞煌,數位人文與資通訊化服務,103,1,81.6
蔡瑞煌,資訊系統專案設計,102,2,84.5
蔡瑞煌,資訊系統專案設計,102,1,88.2
蔡瑞煌,資訊系統專案設計,102,1,79.9
蔡瑞煌,科技化互動服務創新,102,1,88.4
蔡瑞煌,資訊系統專案設計,101,2,86.2
